"現住戶數、人口密度及性比例-年 依 期間, 鄉鎮市 與 項目"

" "," "," 土地面積"," 村里數"," 鄰數"," 現住戶數"," 現住人口數合計"," 男"," 女"," 戶量"," 人口密度"," 性比例"
" "," 蘇澳鎮",89.0196,26,409,14078,40726,20760,19966,2.89,457,103.98
" "," 頭城鎮",100.8930,24,262,10140,29798,15376,14422,2.94,295,106.61
" "," 礁溪鄉",101.4278,18,301,13574,35838,18711,17127,2.64,353,109.25
" "," 壯圍鄉",38.4769,14,221,8529,24258,12837,11421,2.84,630,112.40
" "," 員山鄉",111.9106,16,327,11500,32277,17123,15154,2.81,288,112.99
" "," 冬山鄉",79.8573,24,469,18866,53634,27573,26061,2.84,672,105.80
" "," 五結鄉",38.8671,15,331,14422,39559,20476,19083,2.74,1018,107.30
" "," 三星鄉",144.2238,18,209,8317,21441,11563,9878,2.58,149,117.06
" "," 大同鄉",657.5442,10,76,1886,6080,3300,2780,3.22,9,118.70
" "," 南澳鄉",740.6520,7,51,1915,6051,3171,2880,3.16,8,110.10
"2016"
" "," 宜蘭縣",2143.6251,233,3673,166916,457538,231722,225816,2.74,213,102.62
" "," 宜蘭市",29.4080,38,478,35961,95907,46836,49071,2.67,3261,95.45
" "," 羅東鎮",11.3448,23,538,26278,72485,34379,38106,2.76,6389,90.22
" "," 蘇澳鎮",89.0196,26,409,14149,40493,20616,19877,2.86,455,103.72
" "," 頭城鎮",100.8930,24,262,10208,29666,15293,14373,2.91,294,106.40
" "," 礁溪鄉",101.4278,18,301,13871,35948,18730,17218,2.59,354,108.78
" "," 壯圍鄉",38.4769,14,221,8713,24236,12831,11405,2.78,630,112.50
" "," 員山鄉",111.9106,16,327,11656,32376,17159,15217,2.78,289,112.76
" "," 冬山鄉",79.8573,24,469,19099,53327,27395,25932,2.79,668,105.64
" "," 五結鄉",38.8671,15,331,14719,39657,20533,19124,2.69,1020,107.37
" "," 三星鄉",144.2238,18,210,8448,21422,11540,9882,2.54,149,116.78
" "," 大同鄉",657.5442,10,76,1886,6083,3297,2786,3.23,9,118.34
" "," 南澳鄉",740.6520,7,51,1928,5938,3113,2825,3.08,8,110.19

"1.戶量=人/戶。2.人口密度=人/平方公里。3.性比例=(男/女)*100。 "

